,study id,study link,name of data file in study,name of metadata column,phenotype keyword,label of class 1,label of class 0,technology platform,technique category,affiliation,organism,organism category,release date,number of samples in class 0,number of samples in class 1,number of samples,number of features,fatness,score of the best method,score of the best univariate method,score of the best multivariate method,name of the best multivariate method,tendency,text description of the dataset,text description embedding PC0,text description embedding PC1
MTBLS1-metaboliteprofilingNMRspectroscopyv2maf-diabetesmellitus-Control,MTBLS1,https://www.ebi.ac.uk/metabolights/editor/MTBLS1,m_mtbls1_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv,Factor Value[Metabolic syndrome],disease,diabetes mellitus,Control Group,NMR spectroscopy,NMR,University of Cambridge,?,other or unknown,2012-02-14,84.0,48.0,132,220,1.6666666666666667,0.917567155067155,0.8051276574302889,0.917567155067155,GBtree,multivariate models performs better than univariate models,phenotype description  metabolic syndrome  values  diabetes mellitus  control group  organism  nan,-0.0596589325263736,0.206465152538719
MTBLS1-mtbl1rmsmetaboliteprofilingNMRspectroscopyv2maf-diabetesmellitus-Control,MTBLS1,https://www.ebi.ac.uk/metabolights/editor/MTBLS1,m_live_mtbl1_rms_metabolite profiling_NMR spectroscopy_v2_maf.tsv,Factor Value[Metabolic syndrome],disease,diabetes mellitus,Control Group,NMR spectroscopy,NMR,University of Cambridge,?,other or unknown,2012-02-14,84.0,48.0,132,214,1.621212121212121,0.928761256105006,0.8051276574302889,0.928761256105006,GBtree,multivariate models performs better than univariate models,phenotype description  metabolic syndrome  values  diabetes mellitus  control group  organism  nan,-0.0596589325263737,0.2064651525387185
MTBLS3-mtbl3metaboliteprofilingmassspectrometryv2maf-geneknockoutDelta9-wildtypegeneric,MTBLS3,https://www.ebi.ac.uk/metabolights/editor/MTBLS3,m_live_mtbl3_metabolite profiling_mass spectrometry_v2_maf.tsv,Factor Value[gene knockout],other,Delta 9 fat 5,wild-type generic,DSQ II Single Quadrupole GC/MS (Thermo Scientific),GCMS,University of Cambridge,?,other or unknown,2012-02-14,22.0,41.0,63,22,0.3492063492063492,0.9503472222222222,0.8557787698412698,0.9503472222222222,SVMlinear,multivariate models performs better than univariate models,phenotype description  gene knockout  values  delta 9 fat 5  wild-type generic  organism  nan,0.0918998410995006,0.2386813709724809
MTBLS5--sll0171ko-sll0404koandWTnone,MTBLS5,https://www.ebi.ac.uk/metabolights/editor/MTBLS5,m_Inorganic Carbon Limitation in Cells of the Wild Type and Photorespiratory Mutants of the Cyanobacterium Synechocystis sp. Strain PCC 6803.tsv,Characteristics[Variant],other,Synechocystis sp. PCC 6803.sll0171.ko,Synechocystis sp. PCC 6803.sll0404.ko,GC-MS,GCMS,"Universität Rostock, Institut für Biowissenschaften, Pflanzenphysiologie, 18051 Rostock, Germany",?,other or unknown,2015-09-14,23.0,12.0,35,68,1.9428571428571428,0.9665178571428572,0.9010416666666666,0.9665178571428572,SVMlinear,multivariate models performs better than univariate models,phenotype description  variant  values  synechocystis sp. pcc 6803.sll0171.ko  synechocystis sp. pcc 6803.sll0404.ko  organism  nan,0.2544184929040278,0.0952561308945027
MTBLS5--sll0404ko-WTnoneandsll0171ko,MTBLS5,https://www.ebi.ac.uk/metabolights/editor/MTBLS5,m_Inorganic Carbon Limitation in Cells of the Wild Type and Photorespiratory Mutants of the Cyanobacterium Synechocystis sp. Strain PCC 6803.tsv,Characteristics[Variant],other,Synechocystis sp. PCC 6803.sll0404.ko,Synechocystis sp. PCC 6803.sll0171.ko,GC-MS,GCMS,"Universität Rostock, Institut für Biowissenschaften, Pflanzenphysiologie, 18051 Rostock, Germany",?,other or unknown,2015-09-14,23.0,12.0,35,68,1.9428571428571428,1.0,1.0,1.0,AdaBoost,multivariate and univariate models are equivalent,phenotype description  variant  values  synechocystis sp. pcc 6803.sll0404.ko  synechocystis sp. pcc 6803.sll0171.ko  organism  nan,0.2553142101986059,0.0934499234023159
MTBLS5--WTnone-sll0404koandsll0171ko,MTBLS5,https://www.ebi.ac.uk/metabolights/editor/MTBLS5,m_Inorganic Carbon Limitation in Cells of the Wild Type and Photorespiratory Mutants of the Cyanobacterium Synechocystis sp. Strain PCC 6803.tsv,Characteristics[Variant],other,Synechocystis sp. PCC 6803.WT.none,Synechocystis sp. PCC 6803.sll0404.ko,GC-MS,GCMS,"Universität Rostock, Institut für Biowissenschaften, Pflanzenphysiologie, 18051 Rostock, Germany",?,other or unknown,2015-09-14,24.0,11.0,35,68,1.9428571428571428,1.0,0.8697916666666666,1.0,SVMlinear,multivariate models performs better than univariate models,phenotype description  variant  values  synechocystis sp. pcc 6803.wt.none  synechocystis sp. pcc 6803.sll0404.ko  organism  nan,0.2557509305000185,0.1077881584253347
MTBLS7-v2maf-leaf-cotyledonorshootapicalmeristem,MTBLS7,https://www.ebi.ac.uk/metabolights/editor/MTBLS7,"m_Metabolomic profiles in long day, after bolting, single leaf analysis, Arabidopsis thaliana_v2_maf.tsv",Characteristics[Organism part],other,leaf,cotyledon,GC-MS,GCMS,Max Planck Institute of Molekular Plant Physiology,?,other or unknown,2015-09-14,13.0,100.0,113,62,0.5486725663716814,0.9068728825522304,0.8759313055365687,0.9068728825522304,SVMlinear,multivariate models performs better than univariate models,phenotype description  organism part  values  leaf  cotyledon  organism  nan,0.2503896431572438,-0.0139190702036886
MTBLS8-mtbl8metaboliteprofilingmassspectrometryv2maf-Carbonlimiting-rest,MTBLS8,https://www.ebi.ac.uk/metabolights/editor/MTBLS8,m_live_mtbl8_metabolite profiling_mass spectrometry_v2_maf.tsv,Factor Value[nutrient],other,Carbon limiting,Ethanol limiting,Agilent 6890 GC - LECO Pegasus III TOF MS (LECO),?,University of Cambridge + University of Manchester,?,other or unknown,2012-04-19,90.0,20.0,110,383,3.481818181818182,0.932530583505332,0.8416666666666666,0.932530583505332,SVMlinear,multivariate models performs better than univariate models,phenotype description  nutrient  values  carbon limiting  ethanol limiting  organism  nan,0.256598536989028,0.2056304366670634
MTBLS8-mtbl8metaboliteprofilingmassspectrometryv2maf-exometabolome-endometabolism,MTBLS8,https://www.ebi.ac.uk/metabolights/editor/MTBLS8,m_live_mtbl8_metabolite profiling_mass spectrometry_v2_maf.tsv,Characteristics[Organism part],other,exometabolome,whole organism,Agilent 6890 GC - LECO Pegasus III TOF MS (LECO),?,University of Cambridge + University of Manchester,?,other or unknown,2012-04-19,50.0,60.0,110,383,3.481818181818182,1.0,1.0,1.0,DT,multivariate and univariate models are equivalent,phenotype description  organism part  values  exometabolome  whole organism  organism  nan,0.0466720585520754,0.1377487021108984
MTBLS8-mtbl8metaboliteprofilingmassspectrometryv2maf-high-intermediate,MTBLS8,https://www.ebi.ac.uk/metabolights/editor/MTBLS8,m_live_mtbl8_metabolite profiling_mass spectrometry_v2_maf.tsv,Factor Value[growth rate],other,0.2,0.1,Agilent 6890 GC - LECO Pegasus III TOF MS (LECO),?,University of Cambridge + University of Manchester,?,other or unknown,2012-04-19,34.0,28.0,62,383,6.17741935483871,0.8654265873015874,0.7466021825396825,0.8654265873015874,GBtree,multivariate models performs better than univariate models,phenotype description  growth rate  values  0.2  0.1  organism  nan,0.1784241068300932,0.1290307337885104
MTBLS8-mtbl8metaboliteprofilingmassspectrometryv2maf-Phosphatelimiting-rest,MTBLS8,https://www.ebi.ac.uk/metabolights/editor/MTBLS8,m_live_mtbl8_metabolite profiling_mass spectrometry_v2_maf.tsv,Factor Value[nutrient],other,Phosphate limiting,Ethanol limiting,Agilent 6890 GC - LECO Pegasus III TOF MS (LECO),?,University of Cambridge + University of Manchester,?,other or unknown,2012-04-19,95.0,15.0,110,383,3.481818181818182,0.9001488095238095,0.8688988095238095,0.9001488095238095,AdaBoost,multivariate models performs better than univariate models,phenotype description  nutrient  values  phosphate limiting  ethanol limiting  organism  nan,0.250972126028651,0.2323940471813852
MTBLS8-mtbl8metaboliteprofilingmassspectrometryv2maf-Sulphatelimiting-rest,MTBLS8,https://www.ebi.ac.uk/metabolights/editor/MTBLS8,m_live_mtbl8_metabolite profiling_mass spectrometry_v2_maf.tsv,Factor Value[nutrient],other,Sulphate limiting,Ethanol limiting,Agilent 6890 GC - LECO Pegasus III TOF MS (LECO),?,University of Cambridge + University of Manchester,?,other or unknown,2012-04-19,91.0,19.0,110,383,3.481818181818182,0.9562774122807016,0.6665981359649122,0.9562774122807016,PLSDA,multivariate models performs better than univariate models,phenotype description  nutrient  values  sulphate limiting  ethanol limiting  organism  nan,0.2783860422027667,0.2048223866738829
MTBLS8-mtbl8metaboliteprofilingmassspectrometryv2maf-GlucoseO2limiting-rest,MTBLS8,https://www.ebi.ac.uk/metabolights/editor/MTBLS8,m_live_mtbl8_metabolite profiling_mass spectrometry_v2_maf.tsv,Factor Value[nutrient],other,Glucose/O2 limiting,Ethanol limiting,Agilent 6890 GC - LECO Pegasus III TOF MS (LECO),?,University of Cambridge + University of Manchester,?,other or unknown,2012-04-19,90.0,20.0,110,383,3.481818181818182,0.9934027777777776,0.7444940476190477,0.9934027777777776,PLSDA,multivariate models performs better than univariate models,phenotype description  nutrient  values  glucose/o2 limiting  ethanol limiting  organism  nan,0.2276758222446129,0.1976869178963517
MTBLS8-mtbl8metaboliteprofilingmassspectrometryv2maf-intermediate-low,MTBLS8,https://www.ebi.ac.uk/metabolights/editor/MTBLS8,m_live_mtbl8_metabolite profiling_mass spectrometry_v2_maf.tsv,Factor Value[growth rate],other,0.1,0.07,Agilent 6890 GC - LECO Pegasus III TOF MS (LECO),?,University of Cambridge + University of Manchester,?,other or unknown,2012-04-19,48.0,34.0,82,383,4.670731707317073,0.8438658563658564,0.7350028443778442,0.8438658563658564,SCMBoost,multivariate models performs better than univariate models,phenotype description  growth rate  values  0.1  0.07  organism  nan,0.1778984472307868,0.1282859643506254
MTBLS8-mtbl8metaboliteprofilingmassspectrometryv2maf-Nitrogenlimiting-rest,MTBLS8,https://www.ebi.ac.uk/metabolights/editor/MTBLS8,m_live_mtbl8_metabolite profiling_mass spectrometry_v2_maf.tsv,Factor Value[nutrient],other,Nitrogen limiting,Ethanol limiting,Agilent 6890 GC - LECO Pegasus III TOF MS (LECO),?,University of Cambridge + University of Manchester,?,other or unknown,2012-04-19,90.0,20.0,110,383,3.481818181818182,0.9188890194235588,0.7046874999999999,0.9188890194235588,SVMlinear,multivariate models performs better than univariate models,phenotype description  nutrient  values  nitrogen limiting  ethanol limiting  organism  nan,0.2687502617006072,0.1984006190870466
MTBLS8-mtbl8metaboliteprofilingmassspectrometryv2maf-high-low,MTBLS8,https://www.ebi.ac.uk/metabolights/editor/MTBLS8,m_live_mtbl8_metabolite profiling_mass spectrometry_v2_maf.tsv,Factor Value[growth rate],other,0.2,0.07,Agilent 6890 GC - LECO Pegasus III TOF MS (LECO),?,University of Cambridge + University of Manchester,?,other or unknown,2012-04-19,48.0,28.0,76,383,5.039473684210527,0.9799679487179488,0.8845224220224219,0.9799679487179488,RF,multivariate models performs better than univariate models,phenotype description  growth rate  values  0.2  0.07  organism  nan,0.1889771909028442,0.1317992198362052
