,id,file,n samples,n features,metadata column,1 label,0 label,Study Assay Technology Platform,affiliation,release date,organism,baseline majoritary score,best univariate score,best method score,best algo name,best algo score,tendency,number of algos runned,n zeros in y,n ones in y,best linear-based algo name,best linear-based algo score,best rule-based algo name,best rule-based algo score,technique category,organism curated,organism category,phenotype description combined,embeddings_PC0,embeddings_PC1,phenotype keyword,difference ML univariate,absolute difference |ML - univariate|,best overall score,fatness,is fat,release year,difference rule-based - linear-based,structure of best method
MTBLS1-metaboliteprofilingNMRspectroscopyv2maf-diabetesmellitus-Control,MTBLS1,m_mtbls1_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv,132,220,Factor Value[Metabolic syndrome],diabetes mellitus,Control Group,NMR spectroscopy,University of Cambridge,2012-02-14,?,?,?,?,?,?,?,?,,,,,,,NMR,other or unknown,other or unknown,phenotype description  metabolic syndrome  values  diabetes mellitus  control group  organism  nan,0.05965895681411368,0.20647210485841472,disease,,,?,1.6666666666666667,True,2012,,univariate
MTBLS1-mtbl1rmsmetaboliteprofilingNMRspectroscopyv2maf-diabetesmellitus-Control,MTBLS1,m_live_mtbl1_rms_metabolite profiling_NMR spectroscopy_v2_maf.tsv,132,214,Factor Value[Metabolic syndrome],diabetes mellitus,Control Group,NMR spectroscopy,University of Cambridge,2012-02-14,?,?,?,?,?,?,?,?,,,,,,,NMR,other or unknown,other or unknown,phenotype description  metabolic syndrome  values  diabetes mellitus  control group  organism  nan,0.05965895681411292,0.20647210485841455,disease,,,?,1.621212121212121,True,2012,,univariate
MTBLS1014-MTBLS10141DPROJECTNMRspectroscopy-uMDiRu1full-Untreated,MTBLS1014,m_MTBLS1014_1D_PROJECT_NMR_spectroscopy_v2_maf.tsv,59,55,Factor Value[Treatment],0.03 µM DiRu-1,Untreated,Nuclear Magnetic Resonance (NMR),"Department of Chemistry and Biochemistry, University of Bern",2019-07-04,Homo sapiens,0.5,0.6612599206349207,0.7404265873015873,SCMBoost,0.7404265873015873,multivariate models performs better than univariate models,?,30.0,29.0,PLSDA,0.6073164682539682,SCMBoost,0.7404265873015873,NMR,Homo sapiens,Homo sapiens,phenotype description  treatment  values  0.03 µm diru-1  untreated  organism  homo sapiens,0.06925447951170728,0.1630159927050692,treatment,0.07916666666666661,0.07916666666666661,0.7404265873015873,0.9322033898305084,False,2019,0.13311011904761905,rule-based multivariate
MTBLS1014-MTBLS10141DPROJECTNMRspectroscopy-uMDiRu1half-Untreated,MTBLS1014,m_MTBLS1014_1D_PROJECT_NMR_spectroscopy_v2_maf.tsv,58,55,Factor Value[Treatment],0.015 µM DiRu-1,Untreated,Nuclear Magnetic Resonance (NMR),"Department of Chemistry and Biochemistry, University of Bern",2019-07-04,Homo sapiens,0.5,0.6911706349206349,0.7307043650793651,PLSDA,0.7307043650793651,multivariate models performs better than univariate models,?,30.0,28.0,PLSDA,0.7307043650793651,RF,0.6212549603174603,NMR,Homo sapiens,Homo sapiens,phenotype description  treatment  values  0.015 µm diru-1  untreated  organism  homo sapiens,0.06445484205177092,0.16367255256694388,treatment,0.039533730158730185,0.039533730158730185,0.7307043650793651,0.9482758620689655,False,2019,-0.10944940476190479,linear-based multivariate
MTBLS1014-MTBLS10141DPROJECTNMRspectroscopy-uMDiRu1half-uMDiRu1full,MTBLS1014,m_MTBLS1014_1D_PROJECT_NMR_spectroscopy_v2_maf.tsv,57,55,Factor Value[Treatment],0.015 µM DiRu-1,0.03 µM DiRu-1,Nuclear Magnetic Resonance (NMR),"Department of Chemistry and Biochemistry, University of Bern",2019-07-04,Homo sapiens,0.5,0.6395089285714286,0.6395089285714286,SVMrbf,0.5511656746031746,univariate models performs better than multivariate models,?,29.0,28.0,SVMrbf,0.5511656746031746,rSCM,0.499280753968254,NMR,Homo sapiens,Homo sapiens,phenotype description  treatment  values  0.015 µm diru-1  0.03 µm diru-1  organism  homo sapiens,0.039197128036663476,0.1666089900994018,treatment,-0.08834325396825404,0.08834325396825404,0.6395089285714286,0.9649122807017544,False,2019,-0.05188492063492056,univariate
MTBLS1015-MTBLS1015GCMSmetaboliteprofiling-ProgressedtoDiabetesPT1D-HealthyControlsCTRL,MTBLS1015,m_MTBLS1015_GC-MS___metabolite_profiling_v2_maf.tsv,61,26,Factor Value[Disease Status],Progressed to Diabetes (PT1D),Healthy Controls (CTRL),Gas Chromatography MS,"Turku Bioscience Centre, University of Turku and Åbo Akademi University, FI-20520, Turku, Finland.",2020-08-10,Homo sapiens,0.5,0.6305555555555555,0.7340277777777777,AdaBoost,0.7340277777777777,multivariate models performs better than univariate models,?,17.0,44.0,PLSDA,0.7309027777777778,AdaBoost,0.7340277777777777,GCMS,Homo sapiens,Homo sapiens,phenotype description  disease status  values  progressed to diabetes (pt1d)  healthy controls (ctrl)  organism  homo sapiens,0.3108483835003358,0.012760638079630635,disease,0.10347222222222219,0.10347222222222219,0.7340277777777777,0.4262295081967213,False,2020,0.0031249999999999334,rule-based multivariate
MTBLS1015-MTBLS1015GCMSmetaboliteprofiling-ProgressedtoDiabetesPT1D-SeroconvertedNoDiabetesP1Ab,MTBLS1015,m_MTBLS1015_GC-MS___metabolite_profiling_v2_maf.tsv,84,26,Factor Value[Disease Status],Progressed to Diabetes (PT1D),Seroconverted_No_Diabetes (P1Ab),Gas Chromatography MS,"Turku Bioscience Centre, University of Turku and Åbo Akademi University, FI-20520, Turku, Finland.",2020-08-10,Homo sapiens,0.5,0.6679514929514929,0.6679514929514929,SVMlinear,0.6176817973692974,univariate models performs better than multivariate models,?,40.0,44.0,SVMlinear,0.6176817973692974,DT,0.566902195027195,GCMS,Homo sapiens,Homo sapiens,phenotype description  disease status  values  progressed to diabetes (pt1d)  seroconverted_no_diabetes (p1ab)  organism  homo sapiens,0.3090432750184641,-6.459344135401015e-05,disease,-0.05026969558219552,0.05026969558219552,0.6679514929514929,0.30952380952380953,False,2020,-0.05077960234210244,univariate
MTBLS1015-MTBLS1015GCMSmetaboliteprofiling-SeroconvertedNoDiabetesP1Ab-HealthyControlsCTRL,MTBLS1015,m_MTBLS1015_GC-MS___metabolite_profiling_v2_maf.tsv,57,26,Factor Value[Disease Status],Seroconverted_No_Diabetes (P1Ab),Healthy Controls (CTRL),Gas Chromatography MS,"Turku Bioscience Centre, University of Turku and Åbo Akademi University, FI-20520, Turku, Finland.",2020-08-10,Homo sapiens,0.5,0.6702380952380951,0.6702380952380951,PLSDA,0.6455357142857143,univariate models performs better than multivariate models,?,17.0,40.0,PLSDA,0.6455357142857143,DT,0.5039930555555555,GCMS,Homo sapiens,Homo sapiens,phenotype description  disease status  values  seroconverted_no_diabetes (p1ab)  healthy controls (ctrl)  organism  homo sapiens,0.30078598782498506,0.03137032379503129,disease,-0.024702380952380754,0.024702380952380754,0.6702380952380951,0.45614035087719296,False,2020,-0.1415426587301588,univariate
MTBLS1015-MTBLS1015LCMSmetaboliteprofiling-ProgressedtoDiabetesPT1D-HealthyControlsCTRL,MTBLS1015,m_MTBLS1015_LC-MS___metabolite_profiling_v2_maf.tsv,82,658,Factor Value[Disease Status],Progressed to Diabetes (PT1D),Healthy Controls (CTRL),Liquid Chromatography MS,"Turku Bioscience Centre, University of Turku and Åbo Akademi University, FI-20520, Turku, Finland.",2020-08-10,Homo sapiens,0.5,0.6645044191919192,0.6645044191919192,AdaBoost,0.5831224331224332,univariate models performs better than multivariate models,?,29.0,53.0,SVMlinear,0.5437720265845266,AdaBoost,0.5831224331224332,LCMS,Homo sapiens,Homo sapiens,phenotype description  disease status  values  progressed to diabetes (pt1d)  healthy controls (ctrl)  organism  homo sapiens,0.3108483835003358,0.012760638079630635,disease,-0.08138198606948599,0.08138198606948599,0.6645044191919192,8.024390243902438,True,2020,0.03935040653790656,univariate
MTBLS1015-MTBLS1015LCMSmetaboliteprofiling-ProgressedtoDiabetesPT1D-SeroconvertedNoDiabetesP1Ab,MTBLS1015,m_MTBLS1015_LC-MS___metabolite_profiling_v2_maf.tsv,108,658,Factor Value[Disease Status],Progressed to Diabetes (PT1D),Seroconverted_No_Diabetes (P1Ab),Liquid Chromatography MS,"Turku Bioscience Centre, University of Turku and Åbo Akademi University, FI-20520, Turku, Finland.",2020-08-10,Homo sapiens,0.5,0.6790254884004885,0.6790254884004885,ElasticNet,0.5789663461538461,univariate models performs better than multivariate models,?,55.0,53.0,SVMlinear,0.5267704517704518,SCMBoost,0.5388144841269841,LCMS,Homo sapiens,Homo sapiens,phenotype description  disease status  values  progressed to diabetes (pt1d)  seroconverted_no_diabetes (p1ab)  organism  homo sapiens,0.3090432750184641,-6.459344135401015e-05,disease,-0.10005914224664236,0.10005914224664236,0.6790254884004885,6.092592592592593,True,2020,0.012044032356532286,univariate
